zip,1,2,3,4,5,6,elderlyReturns,returnsTotalwSalariesWages,returnsDependentCareCredit,returnsEducationCredit,risk_group,propensity_score,price_shift,y_0,y_0_corrected,y_1,y_1_corrected,treatment_effect,treatment_effect_no_corr
30519,0.2818215752146323,0.20791340052258306,0.14147069802164988,0.09891750653228817,0.19335572974990667,0.0765210899589399,0.1955953714072415,0.8234415826801045,0.3210153042179918,0.06420306084359836,False,0.28666800078633975,12.92174872641636,16.544215708077118,11.465981469806614,8.53501831388153,8.53501831388153,-2.9309631559250846,-8.009197394195589
30523,0.2803149606299213,0.2377952755905512,0.14960629921259844,0.09606299212598425,0.17480314960629922,0.06141732283464567,0.35590551181102364,0.7464566929133858,0.22677165354330708,0.04566929133858268,False,0.33962937274242544,12.40196585654223,4.249184697631261,16.594950578782445,11.76334607469078,11.76334607469078,-4.831604504091665,7.514161377059519
30535,0.27976190476190477,0.24404761904761904,0.16964285714285715,0.11011904761904762,0.16071428571428573,0.03571428571428571,0.2857142857142857,0.8214285714285714,0.2767857142857143,0.05654761904761905,False,0.3106224470657407,16.84832906412559,7.058910816876791,21.259283610538585,8.584662784160287,8.584662784160287,-12.674620826378298,1.5257519672834956
30542,0.26120857699805067,0.21393762183235868,0.145224171539961,0.10477582846003898,0.19444444444444445,0.0804093567251462,0.2334307992202729,0.8318713450292398,0.26608187134502925,0.05019493177387914,False,0.3037125654708885,13.762757198411467,13.865565997573121,13.717913183428655,11.519518729105165,11.519518729105165,-2.1983944543234895,-2.346047268467956
30548,0.2146118721461187,0.16210045662100456,0.1293759512937595,0.10730593607305935,0.271689497716895,0.11491628614916286,0.3462709284627093,0.7480974124809742,0.2762557077625571,0.0517503805175038,False,0.3399356698169559,10.75887986713746,2.452922280751192,15.036479983502563,6.966315887602647,6.966315887602647,-8.070164095899916,4.513393606851455
30549,0.2514245014245014,0.20085470085470086,0.14031339031339032,0.10683760683760683,0.22507122507122507,0.0754985754985755,0.2207977207977208,0.8461538461538461,0.3433048433048433,0.05555555555555555,False,0.2912785112109498,18.421402144165768,11.577461007191324,21.23420381129096,7.4082319995656505,7.4082319995656505,-13.82597181172531,-4.169229007625674
30565,0.3055555555555556,0.2777777777777778,0.16203703703703703,0.09259259259259259,0.12962962962962962,0.032407407407407406,0.24537037037037038,0.8287037037037037,0.2916666666666667,0.037037037037037035,False,0.29680968819409215,15.346677936819209,10.221711905178267,17.5098755012881,13.662620361142665,13.662620361142665,-3.8472551401454353,3.440908455964397
30577,0.33798283261802575,0.2875536480686695,0.1427038626609442,0.08798283261802575,0.11373390557939914,0.030042918454935622,0.26609442060085836,0.8261802575107297,0.25,0.04721030042918455,False,0.304874757400536,26.298186928229228,13.880344650289363,31.74452439364406,13.890937952729857,13.890937952729857,-17.853586440914203,0.010593302440494057
30606,0.2934947049924357,0.23903177004538578,0.1422087745839637,0.08421583459404942,0.14725163893091275,0.09379727685325265,0.24710035300050429,0.8119011598587998,0.20776601109430157,0.06505295007564296,False,0.312751846475682,20.493270222315417,15.511002547884951,22.760593032603758,10.119133195367695,10.119133195367695,-12.641459837236063,-5.391869352517256
30629,0.3273542600896861,0.28699551569506726,0.15695067264573992,0.09417040358744394,0.11659192825112108,0.017937219730941704,0.21973094170403587,0.8116591928251121,0.2825112107623318,0.04484304932735426,False,0.29004838457035637,20.27905082620891,15.425143614732454,22.262098564879302,15.349379276810623,15.349379276810623,-6.912719288068679,-0.07576433792183046
