zip,1,2,3,4,5,6,elderlyReturns,returnsTotalwSalariesWages,returnsDependentCareCredit,returnsEducationCredit,risk_group,propensity_score,price_shift,y_0,y_0_corrected,y_1,y_1_corrected,treatment_effect,treatment_effect_no_corr
32210,0.33666666666666667,0.32133333333333336,0.14833333333333334,0.071,0.08366666666666667,0.039,0.211,0.8426666666666667,0.25166666666666665,0.042333333333333334,True,0.40025775896483257,30.62851932722741,20.449580263247668,20.449580263247668,21.068371574879325,44.953349537762634,24.503769274514966,0.6187913116316572
32211,0.36695544554455445,0.3224009900990099,0.14665841584158415,0.07116336633663366,0.07858910891089109,0.014232673267326733,0.18688118811881188,0.8347772277227723,0.25,0.0426980198019802,True,0.3942829591949146,31.981924230148916,22.339516900260335,22.339516900260335,23.607899395737316,44.846516584546336,22.506999684286,1.2683824954769811
32216,0.3063700707785642,0.29777553083923153,0.16279069767441862,0.09049544994944388,0.11324570273003033,0.029322548028311426,0.2077856420626896,0.8230535894843276,0.22345803842264914,0.043478260869565216,True,0.4035722380666982,21.576493838494116,19.1155495425025,19.1155495425025,18.7848549495667,25.702176374600015,6.586626832097515,-0.3306945929357994
32217,0.28240252897787144,0.2571127502634352,0.14963119072708114,0.08851422550052687,0.14330874604847207,0.07903055848261328,0.2939936775553214,0.7713382507903056,0.20231822971549,0.040042149631190724,True,0.44983815325438187,18.34048860776216,16.945425606390792,16.945425606390792,16.07355042898727,21.113003313040316,4.167577706649524,-0.8718751774035205
32218,0.29187444998533296,0.29774127310061604,0.17072455265473746,0.09738926371369903,0.12437665004400117,0.017893810501613375,0.19595189205045468,0.868289821061895,0.27075388677031387,0.058081548841302434,True,0.3725005881276386,19.263383265349265,18.608421712199924,18.608421712199924,18.09258867003946,21.235656446642885,2.627234734442961,-0.5158330421604624
32219,0.3100137174211248,0.2962962962962963,0.16872427983539096,0.09053497942386832,0.11522633744855967,0.019204389574759947,0.19204389574759945,0.8587105624142661,0.2757201646090535,0.05486968449931413,True,0.37618173950053685,22.167515311475007,19.489456120512145,19.489456120512145,19.389873615520273,26.773649605398617,7.2841934848864724,-0.09958250499187216
32220,0.2719869706840391,0.2752442996742671,0.17100977198697068,0.10097719869706841,0.15309446254071662,0.02768729641693811,0.25732899022801303,0.8387622149837134,0.2671009771986971,0.035830618892508145,False,0.3864291164110417,19.428468941150044,17.251190714174392,20.799726482756018,16.301311734047008,16.301311734047008,-4.49841474870901,-0.9498789801273837
32221,0.2770012706480305,0.283989834815756,0.16772554002541296,0.10800508259212198,0.1397712833545108,0.023506988564167726,0.22490470139771285,0.8468869123252859,0.2776365946632783,0.052096569250317665,False,0.3777692506941487,17.962946648232126,17.688955632853038,18.129292301660787,16.77761272676718,16.77761272676718,-1.3516795748936055,-0.9113429060858564
32222,0.25410733844468786,0.28039430449069,0.18400876232201532,0.11829134720700986,0.14457831325301204,0.018619934282584884,0.19605695509309967,0.864184008762322,0.276013143483023,0.0624315443592552,False,0.3660846859915681,15.826042444835986,16.765192599790602,15.283685316087208,15.209717511697757,15.209717511697757,-0.07396780438945072,-1.5554750880928445
32223,0.21782178217821782,0.19192688499619193,0.14623000761614624,0.10967250571210967,0.22543792840822544,0.10891089108910891,0.3518659558263519,0.7654226961157654,0.214013709063214,0.039603960396039604,True,0.4613773835365362,10.672375104477094,13.178693566142817,13.178693566142817,10.803857790169634,10.518879179634583,-2.659814386508234,-2.3748357759731835
32224,0.21820062047569805,0.19906928645294725,0.1499482936918304,0.10031023784901758,0.19958634953464321,0.1328852119958635,0.28490175801447776,0.7973112719751809,0.19906928645294725,0.04188210961737332,True,0.46446474853751063,10.928773178778538,13.18453399914317,13.18453399914317,10.728066691491875,11.160190954783417,-2.024343044359753,-2.4564673076512946
32225,0.23209961950882046,0.2466274645451401,0.16464891041162227,0.10826703562781044,0.18436527153234175,0.06399169837426497,0.2604635074368731,0.8215150466966448,0.2324455205811138,0.04565894154271878,True,0.41356245706809014,15.196791990268977,14.840239735316796,14.840239735316796,12.751454588521842,18.664315777816228,3.8240760424994313,-2.0887851467949545
32226,0.22565543071161048,0.2050561797752809,0.16385767790262173,0.11704119850187265,0.22284644194756553,0.06554307116104868,0.24625468164794007,0.8361423220973783,0.29119850187265917,0.056179775280898875,True,0.3958180120814173,11.168881219098449,14.569594615993294,14.569594615993294,12.33153185916694,9.394195496037156,-5.175399119956138,-2.238062756826354
32233,0.23183673469387756,0.2473469387755102,0.1510204081632653,0.09142857142857143,0.15591836734693879,0.12244897959183673,0.31020408163265306,0.7755102040816326,0.17714285714285713,0.026122448979591838,True,0.47019636700799666,26.241720139534475,13.868781357150699,13.868781357150699,11.756469115543322,42.56328099323867,28.694499636087972,-2.112312241607377
32234,0.2756892230576441,0.2781954887218045,0.18045112781954886,0.10776942355889724,0.13283208020050125,0.02506265664160401,0.22055137844611528,0.8596491228070176,0.2807017543859649,0.045112781954887216,False,0.3733446761102332,19.04882766727507,17.624477822083378,19.897417651829794,16.73408644399456,16.73408644399456,-3.1633312078352347,-0.8903913780888182
32244,0.32548755884330866,0.3234700739744452,0.16476126429051782,0.08742434431741762,0.08910558170813719,0.009751176866173503,0.19905850706119704,0.851714862138534,0.253866845998655,0.04774714189643578,True,0.38030521287747937,25.004647734573492,20.330121813939243,20.330121813939243,20.6312798221055,32.130906344124625,11.800784530185382,0.30115800816625793
32246,0.2753064798598949,0.2704028021015762,0.16777583187390543,0.09562171628721541,0.1446584938704028,0.04623467600700525,0.20070052539404554,0.8343257443082311,0.22031523642732048,0.047635726795096325,True,0.40673694406945443,17.729197025974553,17.423650092539965,17.423650092539965,16.301590361992893,19.811491994478683,2.3878419019387174,-1.1220597305470719
32250,0.2119382964453387,0.17773306505700873,0.1381623071763917,0.09792085848423876,0.2052313883299799,0.16901408450704225,0.3024815560026828,0.7793427230046949,0.17169684775318578,0.026156941649899398,True,0.4958260320415065,11.778339180396614,12.345336705123465,12.345336705123465,9.713719676244914,13.877719488136329,1.5323827830128636,-2.6316170288785514
32254,0.4698996655518395,0.34615384615384615,0.11204013377926421,0.04013377926421405,0.03177257525083612,0.0,0.15384615384615385,0.8745819397993311,0.24749163879598662,0.03678929765886288,True,0.39553656641577395,96.84044311317805,27.66193326513653,27.66193326513653,31.780787633907746,196.26534103138533,168.6034077662488,4.118854368771217
