zip,1,2,3,4,5,6,elderlyReturns,returnsTotalwSalariesWages,returnsDependentCareCredit,returnsEducationCredit,risk_group,propensity_score,price_shift,y_0,y_0_corrected,y_1,y_1_corrected,treatment_effect,treatment_effect_no_corr
36091,0.3416149068322981,0.2608695652173913,0.15527950310559005,0.08695652173913043,0.13664596273291926,0.018633540372670808,0.2484472049689441,0.8136645962732919,0.2795031055900621,0.037267080745341616,False,0.6106031106910345,7.148607446262578,4.855833026669856,10.743847241836143,5.871587231104643,5.871587231104643,-4.8722600107315,1.0157542044347867
36092,0.2936596218020022,0.26585094549499444,0.16017797552836485,0.10567296996662959,0.14794215795328142,0.026696329254727477,0.2725250278086763,0.8153503893214683,0.27919911012235815,0.05339265850945495,True,0.6062224771928536,1.479155353325634,4.720170055166747,4.720170055166747,7.0661796614317876,-2.1499489354113646,-6.870118990578112,2.3460096062650404
36104,0.4939271255060729,0.27530364372469635,0.09716599190283401,0.048582995951417005,0.05668016194331984,0.02834008097165992,0.1902834008097166,0.8582995951417004,0.22672064777327935,0.048582995951417005,True,0.6250715102083546,-19.743488854945202,4.070015750638049,4.070015750638049,3.6127085762541107,-33.75293207406766,-37.82294782470571,-0.45730717438393853
36105,0.46564885496183206,0.30788804071246817,0.10178117048346055,0.05089058524173028,0.06361323155216285,0.010178117048346057,0.24173027989821882,0.8447837150127226,0.2748091603053435,0.058524173027989825,True,0.6228279236563633,-1.5979187365484426,0.26054342785278095,0.26054342785278095,4.211756343808499,-5.116141233825399,-5.37668466167818,3.9512129159557183
36106,0.28976377952755905,0.262992125984252,0.14960629921259844,0.09291338582677165,0.13543307086614173,0.06929133858267716,0.2929133858267717,0.7968503937007874,0.2440944881889764,0.06929133858267716,True,0.6092462958899603,-3.840839577665589,5.773160282890757,5.773160282890757,7.817780595416233,-11.318355728648603,-17.091516011539362,2.044620312525476
36108,0.49702380952380953,0.3080357142857143,0.11458333333333333,0.041666666666666664,0.03273809523809524,0.005952380952380952,0.23660714285714285,0.8348214285714286,0.26339285714285715,0.049107142857142856,True,0.6272251972925624,-0.08576227891259336,0.720093249641252,0.720093249641252,3.906551427184496,-2.4584889495893307,-3.1785821992305827,3.186458177543244
36109,0.3209990749306198,0.30064754856614245,0.1637372802960222,0.09158186864014801,0.1036077705827937,0.01942645698427382,0.2923219241443108,0.7964847363552267,0.24421831637372804,0.05735430157261795,True,0.6130660405388679,1.7988176971288183,5.848312622726752,5.848312622726752,8.57522909227174,-2.4780848201848134,-8.326397442911565,2.726916469544989
36111,0.3587360594795539,0.275092936802974,0.13011152416356878,0.06319702602230483,0.09107806691449814,0.08178438661710037,0.25464684014869887,0.828996282527881,0.2899628252788104,0.06505576208178439,True,0.6120837534924952,3.4255762751655316,1.9973519512543305,1.9973519512543305,4.933702591411276,2.469781097595258,0.47242914634092736,2.9363506401569452
36116,0.3809255079006772,0.3098194130925508,0.13882618510158012,0.06489841986455983,0.08013544018058691,0.025395033860045147,0.20372460496613995,0.8555304740406321,0.29288939051918733,0.07844243792325056,True,0.6121608866559315,2.335466243592599,4.47996515291976,4.47996515291976,5.555003952723618,0.29570402142863017,-4.18426113149113,1.075038799803858
36117,0.26210204971652856,0.25425207152202356,0.1648495420846053,0.09681639773222853,0.15656345399040558,0.06541648495420846,0.27126035761011774,0.814217182730048,0.26166593981683384,0.08024422154382904,True,0.6040340949340932,-1.72019437569646,6.3578805758805,6.3578805758805,7.6274787462879665,-7.847927692489899,-14.205808268370399,1.2695981704074661
36203,0.2857142857142857,0.2857142857142857,0.16474654377880185,0.10138248847926268,0.13018433179723501,0.03225806451612903,0.2557603686635945,0.8168202764976958,0.28110599078341014,0.0587557603686636,True,0.6053314257397903,5.785868618413792,6.370532407962429,6.370532407962429,7.710363029556909,4.53112215536779,-1.8394102525946394,1.33983062159448
36207,0.3009478672985782,0.25355450236966826,0.15876777251184834,0.0971563981042654,0.14454976303317535,0.045023696682464455,0.3068720379146919,0.7914691943127962,0.2523696682464455,0.061611374407582936,True,0.6104926333031796,6.915033348636035,4.2699609945237285,4.2699609945237285,7.31774526648268,6.658094525624923,2.388133531101195,3.0477842719589514
36301,0.37135771853688776,0.2727836329820211,0.13019218846869188,0.07873527588344699,0.11593304401735896,0.030998140111593304,0.24736515809051457,0.8270303781773094,0.2610043397396156,0.05579665220086795,True,0.6140540120772111,-1.4738257682670564,4.158622027491603,4.158622027491603,5.777330152774429,-6.03133126531875,-10.189953292810353,1.6187081252828257
36303,0.3813953488372093,0.26124031007751936,0.11550387596899225,0.06666666666666667,0.11705426356589148,0.05813953488372093,0.26434108527131783,0.8085271317829458,0.2372093023255814,0.06124031007751938,False,0.6175659417013984,-0.5087147440254958,4.367454313101902,-8.382898202102492,5.7831999874524325,5.7831999874524325,14.166098189554925,1.4157456743505303
36305,0.25136612021857924,0.22404371584699453,0.13934426229508196,0.09836065573770492,0.19262295081967212,0.0942622950819672,0.31420765027322406,0.7909836065573771,0.25956284153005466,0.05737704918032787,False,0.6042947821974666,-1.9015661174008769,4.169482944812202,-11.172869870061929,7.0436841156880465,7.0436841156880465,18.216553985749975,2.8742011708758444
36310,0.36885245901639346,0.26639344262295084,0.14344262295081966,0.0778688524590164,0.11065573770491803,0.03278688524590164,0.3401639344262295,0.7540983606557377,0.22131147540983606,0.045081967213114756,False,0.6220805179748349,10.099440047911168,3.4406668887298792,21.06022204767215,7.352640399416364,7.352640399416364,-13.707581648255784,3.911973510686485
36312,0.33204633204633205,0.25868725868725867,0.138996138996139,0.0888030888030888,0.15057915057915058,0.03088803088803089,0.27413127413127414,0.833976833976834,0.27413127413127414,0.05019305019305019,True,0.6090781463647131,0.9510480197390203,2.2496105268141804,2.2496105268141804,5.888791458419625,-2.2181213706673457,-4.467731897481526,3.639180931605445
36330,0.28343558282208586,0.2361963190184049,0.14355828220858896,0.10920245398773006,0.18466257668711655,0.04294478527607362,0.23865030674846627,0.8226993865030675,0.29386503067484665,0.05950920245398773,False,0.6026631248858947,-1.1334782457587012,5.749247881656487,-11.572895011420425,5.869074726810339,5.869074726810339,17.441969738230764,0.11982684515385245
