zip,pct_poverty,pct_black,pct_college_plus,pct_mortgage,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,cluster
31088,0.1444200544384933,0.296983921252671,0.3247326384188439,0.70934384764172,32.58587,-83.65528,Warner Robins,GA,Georgia,True,,59599.0,781.7,13153,Houston,"{""13153"": 100}",Houston,13153,False,False,America/New_York,2
31206,0.3647040461976667,0.8058437595361612,0.0789235347392935,0.5799373040752351,32.79383,-83.6832,Macon,GA,Georgia,True,,25250.0,365.8,13021,Bibb,"{""13021"": 100}",Bibb,13021,False,False,America/New_York,0
31216,0.1350868232890704,0.2478276395667182,0.1751621111384716,0.6178291374329343,32.72885,-83.67914,Macon,GA,Georgia,True,,16354.0,110.1,13021,Bibb,"{""13021"": 100}",Bibb,13021,False,False,America/New_York,1
31301,0.2114882506527415,0.5787641427328112,0.1553620531622364,0.6191275167785235,31.7581,-81.60386,Allenhurst,GA,Georgia,True,,4212.0,92.2,13179,Liberty,"{""13179"": 57.45, ""13183"": 42.55}",Liberty|Long,13179|13183,False,False,America/New_York,0
31303,0.0514541387024608,0.2934377330350485,0.1536231884057971,0.608876560332871,32.49631,-81.30616,Clyo,GA,Georgia,True,,2056.0,9.7,13103,Effingham,"{""13103"": 100}",Effingham,13103,False,False,America/New_York,1
31305,0.223731371439351,0.3560732113144759,0.1472131967008248,0.4426229508196721,31.39057,-81.39054,Darien,GA,Georgia,True,,5119.0,32.0,13191,McIntosh,"{""13191"": 100}",McIntosh,13191,False,False,America/New_York,0
31324,0.1096905968681443,0.135511917253785,0.4168741847503854,0.7578616352201258,31.85707,-81.26951,Richmond Hill,GA,Georgia,True,,35668.0,106.1,13029,Bryan,"{""13029"": 100}",Bryan,13029,False,False,America/New_York,2
31401,0.356222438577401,0.4131256615756842,0.430689137915821,0.6307021023403412,32.06831,-81.09252,Savannah,GA,Georgia,True,,20562.0,2326.1,13051,Chatham,"{""13051"": 100}",Chatham,13051,False,False,America/New_York,0
31408,0.1844809259477973,0.5181756821907242,0.1029931972789115,0.4741907261592301,32.11164,-81.18158,Savannah,GA,Georgia,True,,11791.0,215.8,13051,Chatham,"{""13051"": 100}",Chatham,13051,False,False,America/New_York,0
31410,0.0397671768153695,0.0280260444049015,0.4615601239087581,0.6781104457751165,32.01821,-80.99215,Savannah,GA,Georgia,True,,22867.0,391.1,13051,Chatham,"{""13051"": 100}",Chatham,13051,False,False,America/New_York,2
31518,0.2518756698821007,0.0503751339764201,0.2365415986949429,0.3975409836065574,31.51272,-82.18325,Bristol,GA,Georgia,True,,822.0,6.8,13001,Appling,"{""13001"": 57.48, ""13229"": 30.81, ""13305"": 11.71}",Appling|Pierce|Wayne,13001|13229|13305,False,False,America/New_York,1
31543,0.1983610508556278,0.0289957567185289,0.0574794716172795,0.4910423452768729,31.34455,-81.82697,Hortense,GA,Georgia,True,,4914.0,11.5,13025,Brantley,"{""13025"": 50.37, ""13305"": 41.61, ""13127"": 8.02}",Brantley|Wayne|Glynn,13025|13305|13127,False,False,America/New_York,1
31632,0.1055687909469922,0.08751761477416,0.300071530758226,0.659652076318743,30.9876,-83.36006,Hahira,GA,Georgia,True,,15304.0,52.6,13185,Lowndes,"{""13185"": 78.93, ""13075"": 21.07}",Lowndes|Cook,13185|13075,False,False,America/New_York,2
31018,0.1817343173431734,0.5731387953610175,0.0586349060925332,0.3773584905660377,32.97888,-82.62012,Davisboro,GA,Georgia,True,,2669.0,11.2,13303,Washington,"{""13303"": 100}",Washington,13303,False,False,America/New_York,0
31019,0.211038961038961,0.2314471243042671,0.1752041573867854,0.3386327503974563,32.42622,-83.0534,Dexter,GA,Georgia,True,,3198.0,23.1,13175,Laurens,"{""13175"": 100}",Laurens,13175,False,False,America/New_York,1
